Token 名称, 值, 来源类型(seed/map/alias)
orange6, "#d87a16", alias
orange-7, "#e89a3c", alias
orange7, "#e89a3c", alias
orange-8, "#f3b765", alias
orange8, "#f3b765", alias
orange-9, "#f8cf8d", alias
orange9, "#f8cf8d", alias
orange-10, "#fae3b7", alias
orange10, "#fae3b7", alias
yellow-1, "#2b2611", alias
yellow1, "#2b2611", alias
yellow-2, "#443b11", alias
yellow2, "#443b11", alias
yellow-3, "#595014", alias
yellow3, "#595014", alias
yellow-4, "#7c6e14", alias
yellow4, "#7c6e14", alias
yellow-5, "#aa9514", alias
yellow5, "#aa9514", alias
yellow-6, "#d8bd14", alias
yellow6, "#d8bd14", alias
yellow-7, "#e8d639", alias
yellow7, "#e8d639", alias
yellow-8, "#f3ea62", alias
yellow8, "#f3ea62", alias
yellow-9, "#f8f48b", alias
yellow9, "#f8f48b", alias
yellow-10, "#fafab5", alias
yellow10, "#fafab5", alias
volcano-1, "#2b1611", alias
volcano1, "#2b1611", alias
volcano-2, "#441d12", alias
volcano2, "#441d12", alias
volcano-3, "#592716", alias
volcano3, "#592716", alias
volcano-4, "#7c3118", alias
volcano4, "#7c3118", alias
volcano-5, "#aa3e19", alias
volcano5, "#aa3e19", alias
volcano-6, "#d84a1b", alias
volcano6, "#d84a1b", alias
volcano-7, "#e87040", alias
volcano7, "#e87040", alias
volcano-8, "#f3956a", alias
volcano8, "#f3956a", alias
volcano-9, "#f8b692", alias
volcano9, "#f8b692", alias
volcano-10, "#fad4bc", alias
volcano10, "#fad4bc", alias
geekblue-1, "#131629", alias
geekblue1, "#131629", alias
geekblue-2, "#161d40", alias
geekblue2, "#161d40", alias
geekblue-3, "#1c2755", alias
geekblue3, "#1c2755", alias
geekblue-4, "#203175", alias
geekblue4, "#203175", alias
geekblue-5, "#263ea0", alias
geekblue5, "#263ea0", alias
geekblue-6, "#2b4acb", alias
geekblue6, "#2b4acb", alias
geekblue-7, "#5273e0", alias
geekblue7, "#5273e0", alias
geekblue-8, "#7f9ef3", alias
geekblue8, "#7f9ef3", alias
geekblue-9, "#a8c1f8", alias
geekblue9, "#a8c1f8", alias
geekblue-10, "#d2e0fa", alias
geekblue10, "#d2e0fa", alias
gold-1, "#2b2111", alias
gold1, "#2b2111", alias
gold-2, "#443111", alias
gold2, "#443111", alias
gold-3, "#594214", alias
gold3, "#594214", alias
gold-4, "#7c5914", alias
gold4, "#7c5914", alias
gold-5, "#aa7714", alias
gold5, "#aa7714", alias
gold-6, "#d89614", alias
gold6, "#d89614", alias
gold-7, "#e8b339", alias
gold7, "#e8b339", alias
gold-8, "#f3cc62", alias
gold8, "#f3cc62", alias
gold-9, "#f8df8b", alias
gold9, "#f8df8b", alias
gold-10, "#faedb5", alias
gold10, "#faedb5", alias
lime-1, "#1f2611", alias
lime1, "#1f2611", alias
lime-2, "#2e3c10", alias
lime2, "#2e3c10", alias
lime-3, "#3e4f13", alias
lime3, "#3e4f13", alias
lime-4, "#536d13", alias
lime4, "#536d13", alias
lime-5, "#6f9412", alias
lime5, "#6f9412", alias
lime-6, "#8bbb11", alias
lime6, "#8bbb11", alias
lime-7, "#a9d134", alias
lime7, "#a9d134", alias
lime-8, "#c9e75d", alias
lime8, "#c9e75d", alias
lime-9, "#e4f88b", alias
lime9, "#e4f88b", alias
lime-10, "#f0fab5", alias
lime10, "#f0fab5", alias
colorText, "rgba(255，255，255，0.85)", alias
colorTextSecondary, "rgba(255，255，255，0.65)", alias
colorTextTertiary, "rgba(255，255，255，0.45)", alias
colorTextQuaternary, "rgba(255，255，255，0.25)", alias
colorFill, "rgba(255，255，255，0.18)", alias
colorFillSecondary, "rgba(255，255，255，0.12)", alias
colorFillTertiary, "rgba(255，255，255，0.08)", alias
colorFillQuaternary, "rgba(255，255，255，0.04)", alias
colorBgSolid, "rgba(255，255，255，0.95)", alias
colorBgSolidHover, "rgb(255，255，255)", alias
colorBgSolidActive, "rgba(255，255，255，0.9)", alias
colorBgLayout, "#000000", alias
colorBgContainer, "#141414", alias
colorBgElevated, "#1f1f1f", alias
colorBgSpotlight, "#424242", alias
colorBgBlur, "rgba(255，255，255，0.04)", alias
colorBorder, "#424242", alias
colorBorderSecondary, "#303030", alias
colorPrimaryBg, "#111a2c", alias
colorPrimaryBgHover, "#112545", alias
colorPrimaryBorder, "#15325b", alias
colorPrimaryBorderHover, "#15417e", alias
colorPrimaryHover, "#3c89e8", alias
colorPrimaryActive, "#1554ad", alias
colorPrimaryTextHover, "#3c89e8", alias
colorPrimaryText, "#1668dc", alias
colorPrimaryTextActive, "#1554ad", alias
colorSuccessBg, "#162312", alias
colorSuccessBgHover, "#1d3712", alias
