Token 名称, 值, 来源类型(seed/map/alias)
magenta-2, "#ffd6e7", alias
magenta2, "#ffd6e7", alias
magenta-3, "#ffadd2", alias
magenta3, "#ffadd2", alias
magenta-4, "#ff85c0", alias
magenta4, "#ff85c0", alias
magenta-5, "#f759ab", alias
magenta5, "#f759ab", alias
magenta-6, "#eb2f96", alias
magenta6, "#eb2f96", alias
magenta-7, "#c41d7f", alias
magenta7, "#c41d7f", alias
magenta-8, "#9e1068", alias
magenta8, "#9e1068", alias
magenta-9, "#780650", alias
magenta9, "#780650", alias
magenta-10, "#520339", alias
magenta10, "#520339", alias
pink-1, "#fff0f6", alias
pink1, "#fff0f6", alias
pink-2, "#ffd6e7", alias
pink2, "#ffd6e7", alias
pink-3, "#ffadd2", alias
pink3, "#ffadd2", alias
pink-4, "#ff85c0", alias
pink4, "#ff85c0", alias
pink-5, "#f759ab", alias
pink5, "#f759ab", alias
pink-6, "#eb2f96", alias
pink6, "#eb2f96", alias
pink-7, "#c41d7f", alias
pink7, "#c41d7f", alias
pink-8, "#9e1068", alias
pink8, "#9e1068", alias
pink-9, "#780650", alias
pink9, "#780650", alias
pink-10, "#520339", alias
pink10, "#520339", alias
red-1, "#fff1f0", alias
red1, "#fff1f0", alias
red-2, "#ffccc7", alias
red2, "#ffccc7", alias
red-3, "#ffa39e", alias
red3, "#ffa39e", alias
red-4, "#ff7875", alias
red4, "#ff7875", alias
red-5, "#ff4d4f", alias
red5, "#ff4d4f", alias
red-6, "#f5222d", alias
red6, "#f5222d", alias
red-7, "#cf1322", alias
red7, "#cf1322", alias
red-8, "#a8071a", alias
red8, "#a8071a", alias
red-9, "#820014", alias
red9, "#820014", alias
red-10, "#5c0011", alias
red10, "#5c0011", alias
orange-1, "#fff7e6", alias
orange1, "#fff7e6", alias
orange-2, "#ffe7ba", alias
orange2, "#ffe7ba", alias
orange-3, "#ffd591", alias
orange3, "#ffd591", alias
orange-4, "#ffc069", alias
orange4, "#ffc069", alias
orange-5, "#ffa940", alias
orange5, "#ffa940", alias
orange-6, "#fa8c16", alias
orange6, "#fa8c16", alias
orange-7, "#d46b08", alias
orange7, "#d46b08", alias
orange-8, "#ad4e00", alias
orange8, "#ad4e00", alias
orange-9, "#873800", alias
orange9, "#873800", alias
orange-10, "#612500", alias
orange10, "#612500", alias
yellow-1, "#feffe6", alias
yellow1, "#feffe6", alias
yellow-2, "#ffffb8", alias
yellow2, "#ffffb8", alias
yellow-3, "#fffb8f", alias
yellow3, "#fffb8f", alias
yellow-4, "#fff566", alias
yellow4, "#fff566", alias
yellow-5, "#ffec3d", alias
yellow5, "#ffec3d", alias
yellow-6, "#fadb14", alias
yellow6, "#fadb14", alias
yellow-7, "#d4b106", alias
yellow7, "#d4b106", alias
yellow-8, "#ad8b00", alias
